date,open,high,low,close,volume,dividends,split_ratio
2018-05-16 00:00:00+00:00,1.2699999809265137,1.2799999713897705,1.2599999904632568,1.2799999713897705,27800,0,0
2018-05-17 00:00:00+00:00,1.2799999713897705,1.2799999713897705,1.2699999809265137,1.2699999809265137,58600,0,0
2018-05-18 00:00:00+00:00,1.2699999809265137,1.2699999809265137,1.2000000476837158,1.2300000190734863,127400,0,0
2018-05-22 00:00:00+00:00,1.2000000476837158,1.2300000190734863,1.1799999475479126,1.1799999475479126,38900,0,0
2018-05-23 00:00:00+00:00,1.2200000286102295,1.2400000095367432,1.149999976158142,1.2400000095367432,265800,0,0
2018-05-24 00:00:00+00:00,1.2200000286102295,1.2200000286102295,1.2000000476837158,1.2000000476837158,10200,0,0
2018-05-25 00:00:00+00:00,1.2300000190734863,1.25,1.2200000286102295,1.2300000190734863,17500,0,0
2018-05-28 00:00:00+00:00,1.25,1.25,1.25,1.25,500,0,0
2018-05-29 00:00:00+00:00,1.2300000190734863,1.2599999904632568,1.2100000381469727,1.2100000381469727,28900,0,0
2018-05-30 00:00:00+00:00,1.2000000476837158,1.2100000381469727,1.2000000476837158,1.2000000476837158,17200,0,0
2018-05-31 00:00:00+00:00,1.2000000476837158,1.2100000381469727,1.2000000476837158,1.2000000476837158,25500,0,0
2018-06-01 00:00:00+00:00,1.2200000286102295,1.2300000190734863,1.190000057220459,1.190000057220459,188300,0,0
2018-06-04 00:00:00+00:00,1.1699999570846558,1.1799999475479126,1.159999966621399,1.1699999570846558,57700,0,0
2018-06-05 00:00:00+00:00,1.159999966621399,1.1799999475479126,1.159999966621399,1.1799999475479126,32100,0,0
2018-06-06 00:00:00+00:00,1.1699999570846558,1.1799999475479126,1.1699999570846558,1.1699999570846558,85200,0,0
2018-06-07 00:00:00+00:00,1.1399999856948853,1.1799999475479126,1.1399999856948853,1.1799999475479126,69900,0,0
2018-06-08 00:00:00+00:00,1.1799999475479126,1.1799999475479126,1.1699999570846558,1.1799999475479126,19800,0,0
2018-06-11 00:00:00+00:00,1.159999966621399,1.159999966621399,1.1399999856948853,1.159999966621399,6300,0,0
2018-06-12 00:00:00+00:00,1.149999976158142,1.149999976158142,1.1399999856948853,1.1399999856948853,7300,0,0
2018-06-13 00:00:00+00:00,1.149999976158142,1.149999976158142,1.1100000143051147,1.149999976158142,24100,0,0
2018-06-14 00:00:00+00:00,1.149999976158142,1.149999976158142,1.1399999856948853,1.149999976158142,53700,0,0
2018-06-15 00:00:00+00:00,1.149999976158142,1.149999976158142,1.100000023841858,1.1200000047683716,43200,0,0
2018-06-18 00:00:00+00:00,1.1399999856948853,1.3200000524520874,1.1399999856948853,1.2899999618530273,1943300,0,0
2018-06-19 00:00:00+00:00,1.2699999809265137,1.3899999856948853,1.25,1.3799999952316284,211200,0,0
2018-06-20 00:00:00+00:00,1.399999976158142,1.4199999570846558,1.340000033378601,1.399999976158142,603900,0,0
2018-06-21 00:00:00+00:00,1.4299999475479126,1.4299999475479126,1.350000023841858,1.399999976158142,257700,0,0
2018-06-22 00:00:00+00:00,1.399999976158142,1.5,1.3899999856948853,1.5,479700,0,0
2018-06-25 00:00:00+00:00,1.5,1.5,1.399999976158142,1.4500000476837158,709100,0,0
2018-06-26 00:00:00+00:00,1.4199999570846558,1.4500000476837158,1.3600000143051147,1.440000057220459,516300,0,0
2018-06-27 00:00:00+00:00,1.4500000476837158,1.4500000476837158,1.3700000047683716,1.3700000047683716,219900,0,0
2018-06-28 00:00:00+00:00,1.3899999856948853,1.4500000476837158,1.3899999856948853,1.4299999475479126,197900,0,0
2018-06-29 00:00:00+00:00,1.4700000286102295,1.4700000286102295,1.399999976158142,1.4199999570846558,228100,0,0
2018-07-03 00:00:00+00:00,1.409999966621399,1.4299999475479126,1.399999976158142,1.409999966621399,46700,0,0
2018-07-04 00:00:00+00:00,1.399999976158142,1.4199999570846558,1.3899999856948853,1.409999966621399,31400,0,0
2018-07-05 00:00:00+00:00,1.409999966621399,1.409999966621399,1.3799999952316284,1.3799999952316284,73900,0,0
2018-07-06 00:00:00+00:00,1.3799999952316284,1.399999976158142,1.3799999952316284,1.3799999952316284,38900,0,0
2018-07-09 00:00:00+00:00,1.4299999475479126,1.4500000476837158,1.3899999856948853,1.4500000476837158,280800,0,0
2018-07-10 00:00:00+00:00,1.4299999475479126,1.4299999475479126,1.399999976158142,1.4199999570846558,7500,0,0
2018-07-11 00:00:00+00:00,1.399999976158142,1.4299999475479126,1.3899999856948853,1.3899999856948853,359800,0,0
2018-07-12 00:00:00+00:00,1.409999966621399,1.4199999570846558,1.3899999856948853,1.399999976158142,24500,0,0
2018-07-13 00:00:00+00:00,1.3899999856948853,1.399999976158142,1.3799999952316284,1.3899999856948853,60000,0,0
2018-07-16 00:00:00+00:00,1.399999976158142,1.399999976158142,1.340000033378601,1.3899999856948853,120600,0,0
2018-07-17 00:00:00+00:00,1.3799999952316284,1.3899999856948853,1.3300000429153442,1.3799999952316284,65200,0,0
2018-07-18 00:00:00+00:00,1.350000023841858,1.3799999952316284,1.340000033378601,1.340000033378601,12000,0,0
2018-07-19 00:00:00+00:00,1.3799999952316284,1.3799999952316284,1.3300000429153442,1.3300000429153442,105300,0,0
2018-07-20 00:00:00+00:00,1.350000023841858,1.350000023841858,1.2899999618530273,1.2999999523162842,64800,0,0
2018-07-23 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.2300000190734863,1.2899999618530273,135200,0,0
2018-07-24 00:00:00+00:00,1.2599999904632568,1.340000033378601,1.2599999904632568,1.340000033378601,943000,0,0
2018-07-25 00:00:00+00:00,1.2899999618530273,1.3700000047683716,1.2899999618530273,1.340000033378601,32200,0,0
2018-07-26 00:00:00+00:00,1.340000033378601,1.340000033378601,1.2899999618530273,1.2999999523162842,7500,0,0
2018-07-27 00:00:00+00:00,1.2899999618530273,1.340000033378601,1.2899999618530273,1.2999999523162842,23500,0,0
2018-07-30 00:00:00+00:00,1.2599999904632568,1.2699999809265137,1.25,1.25,118500,0,0
2018-07-31 00:00:00+00:00,1.2599999904632568,1.340000033378601,1.2599999904632568,1.340000033378601,62000,0,0
2018-08-01 00:00:00+00:00,1.3700000047683716,1.3700000047683716,1.309999942779541,1.309999942779541,4700,0,0
2018-08-02 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2699999809265137,1.2899999618530273,36900,0,0
2018-08-03 00:00:00+00:00,1.2699999809265137,1.2799999713897705,1.2599999904632568,1.2799999713897705,5900,0,0
2018-08-07 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.2599999904632568,1.2799999713897705,134400,0,0
2018-08-08 00:00:00+00:00,1.2799999713897705,1.2899999618530273,1.2699999809265137,1.2799999713897705,86100,0,0
2018-08-09 00:00:00+00:00,1.2799999713897705,1.2899999618530273,1.25,1.2799999713897705,79300,0,0
2018-08-10 00:00:00+00:00,1.2799999713897705,1.2899999618530273,1.25,1.2799999713897705,91600,0,0
2018-08-13 00:00:00+00:00,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,200,0,0
2018-08-14 00:00:00+00:00,1.2699999809265137,1.2699999809265137,1.25,1.25,13200,0,0
2018-08-15 00:00:00+00:00,1.25,1.25,1.2200000286102295,1.2400000095367432,94300,0,0
2018-08-16 00:00:00+00:00,1.2300000190734863,1.2799999713897705,1.2300000190734863,1.25,22700,0,0
2018-08-17 00:00:00+00:00,1.2699999809265137,1.2699999809265137,1.2400000095367432,1.25,100300,0,0
2018-08-20 00:00:00+00:00,1.2699999809265137,1.340000033378601,1.2699999809265137,1.2899999618530273,219500,0,0
2018-08-21 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.2599999904632568,1.2599999904632568,15800,0,0
2018-08-22 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.2799999713897705,1.2899999618530273,58400,0,0
2018-08-23 00:00:00+00:00,1.2799999713897705,1.2799999713897705,1.2400000095367432,1.2599999904632568,83600,0,0
2018-08-24 00:00:00+00:00,1.25,1.3799999952316284,1.2200000286102295,1.3799999952316284,879000,0,0
2018-08-27 00:00:00+00:00,1.3899999856948853,1.3899999856948853,1.2899999618530273,1.2999999523162842,68500,0,0
2018-08-28 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2799999713897705,1.2799999713897705,128100,0,0
2018-08-29 00:00:00+00:00,1.2699999809265137,1.2999999523162842,1.2400000095367432,1.2799999713897705,271000,0,0
2018-08-30 00:00:00+00:00,1.2599999904632568,1.2599999904632568,1.2400000095367432,1.2400000095367432,25900,0,0
2018-08-31 00:00:00+00:00,1.2599999904632568,1.3600000143051147,1.2599999904632568,1.3600000143051147,39800,0,0
2018-09-04 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2300000190734863,1.2699999809265137,115900,0,0
2018-09-05 00:00:00+00:00,1.2699999809265137,1.2699999809265137,1.2599999904632568,1.2699999809265137,16800,0,0
2018-09-06 00:00:00+00:00,1.25,1.2799999713897705,1.25,1.2599999904632568,49300,0,0
2018-09-07 00:00:00+00:00,1.2599999904632568,1.2999999523162842,1.2599999904632568,1.2899999618530273,31900,0,0
2018-09-10 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.25,1.2599999904632568,83000,0,0
2018-09-11 00:00:00+00:00,1.2699999809265137,1.2699999809265137,1.2100000381469727,1.2200000286102295,138200,0,0
2018-09-12 00:00:00+00:00,1.2200000286102295,1.25,1.2100000381469727,1.2200000286102295,225700,0,0
2018-09-13 00:00:00+00:00,1.2200000286102295,1.2200000286102295,1.1799999475479126,1.2100000381469727,249400,0,0
2018-09-14 00:00:00+00:00,1.1799999475479126,1.2699999809265137,1.1799999475479126,1.2400000095367432,145600,0,0
2018-09-17 00:00:00+00:00,1.2599999904632568,1.3200000524520874,1.2300000190734863,1.2300000190734863,87600,0,0
2018-09-18 00:00:00+00:00,1.2599999904632568,1.340000033378601,1.2599999904632568,1.3200000524520874,19900,0,0
2018-09-19 00:00:00+00:00,1.3899999856948853,1.399999976158142,1.350000023841858,1.399999976158142,46100,0,0
2018-09-20 00:00:00+00:00,1.3600000143051147,1.3899999856948853,1.340000033378601,1.340000033378601,22900,0,0
2018-09-21 00:00:00+00:00,1.3200000524520874,1.340000033378601,1.2999999523162842,1.340000033378601,10500,0,0
2018-09-24 00:00:00+00:00,1.3600000143051147,1.3899999856948853,1.3600000143051147,1.3600000143051147,12000,0,0
2018-09-25 00:00:00+00:00,1.3600000143051147,1.3600000143051147,1.2899999618530273,1.340000033378601,57000,0,0
2018-09-26 00:00:00+00:00,1.309999942779541,1.340000033378601,1.309999942779541,1.340000033378601,3100,0,0
2018-09-27 00:00:00+00:00,1.3300000429153442,1.340000033378601,1.3300000429153442,1.340000033378601,2200,0,0
2018-09-28 00:00:00+00:00,1.340000033378601,1.340000033378601,1.309999942779541,1.340000033378601,73900,0,0
2018-10-01 00:00:00+00:00,1.3200000524520874,1.340000033378601,1.2899999618530273,1.309999942779541,11500,0,0
2018-10-02 00:00:00+00:00,1.3300000429153442,1.3300000429153442,1.2899999618530273,1.309999942779541,11100,0,0
2018-10-03 00:00:00+00:00,1.25,1.3300000429153442,1.25,1.2899999618530273,25700,0,0
2018-10-04 00:00:00+00:00,1.2599999904632568,1.2999999523162842,1.2599999904632568,1.2999999523162842,1500,0,0
