symbol,sector,sector_id
PLC.TO,Consumer Cyclical,6
PLV.TO,unkown,7
PME.TO,Basic Materials,3
PMIF.TO,unkown,7
PMM.TO,unkown,7
PMN.TO,Healthcare,5
PMNT.TO,unkown,7
PMT.TO,Energy,1
PMTS.TO,Industrials,4
PNE.TO,Energy,1
PNP.TO,Financial Services,0
POM.TO,Basic Materials,3
POU.TO,Energy,1
POW.TO,Financial Services,0
PPL.TO,Energy,1
PPR.TO,Energy,1
PPS.TO,unkown,7
PR.TO,unkown,7
PRA.TO,unkown,7
PREF.TO,unkown,7
PRM.TO,Financial Services,0
PRMW.TO,Consumer Defensive,8
PRN.TO,Healthcare,5
PRP.TO,unkown,7
PRQ.TO,Energy,1
PRU.TO,Basic Materials,3
PSA.TO,unkown,7
PSB.TO,unkown,7
PSD.TO,Energy,1
PSI.TO,Energy,1
PSK.TO,Energy,1
PSLV.TO,unkown,7
PSY.TO,unkown,7
PTM.TO,Basic Materials,3
PTS.TO,Communication Services,11
PUD.TO,unkown,7
PVG.TO,Basic Materials,3
PXC.TO,unkown,7
PXG.TO,unkown,7
PXS.TO,unkown,7
PXT.TO,Energy,1
PYF.TO,unkown,7
PYR.TO,Industrials,4
PZA.TO,Consumer Cyclical,6
PZC.TO,unkown,7
PZW.TO,unkown,7
QAH.TO,unkown,7
QBB.TO,unkown,7
QBTC.TO,,12
QBTL.TO,unkown,7
QCD.TO,unkown,7
QCE.TO,unkown,7
QCN.TO,unkown,7
QDX.TO,unkown,7
QDXB.TO,unkown,7
QDXH.TO,unkown,7
QEBH.TO,unkown,7
QEBL.TO,unkown,7
QEC.TO,Energy,1
QEM.TO,unkown,7
QHY.TO,unkown,7
QIE.TO,unkown,7
QINF.TO,unkown,7
QMA.TO,unkown,7
QSB.TO,unkown,7
QSR.TO,Consumer Cyclical,6
QTRH.TO,Technology,2
QUB.TO,unkown,7
QUIG.TO,unkown,7
QUS.TO,unkown,7
QUU.TO,unkown,7
QXM.TO,unkown,7
RBA.TO,Industrials,4
RBDI.TO,unkown,7
RBNK.TO,unkown,7
RBO.TO,unkown,7
RBOT.TO,unkown,7
RCD.TO,unkown,7
RCE.TO,unkown,7
RCG.TO,Financial Services,0
RCH.TO,Consumer Cyclical,6
RDL.TO,Technology,2
REAL.TO,Technology,2
RECP.TO,Consumer Cyclical,6
REIT.TO,unkown,7
RFP.TO,Basic Materials,3
RID.TO,unkown,7
RIDH.TO,unkown,7
RIE.TO,unkown,7
RIEH.TO,unkown,7
